Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
8,9,4391.88,4,4,4,444,Champions
325,1,45.0,1,1,1,111,Lost Customers
58,1,460.13,2,1,2,212,Lost Customers
12,4,3177.15,4,3,4,434,Loyal Customers
151,2,1427.73,1,2,3,123,Lost Customers
10,5,2744.05,4,3,4,434,Loyal Customers
330,1,225.89999999999998,1,1,1,111,Lost Customers
5,2,574.52,4,2,2,422,Lost Customers
39,4,1844.6,3,3,4,334,Loyal Customers
25,6,1091.39,3,4,3,343,Loyal Customers
42,9,16331.46,3,4,4,344,Loyal Customers
59,4,951.02,2,3,3,233,At Risk
1,4,790.81,4,3,3,433,Loyal Customers
15,22,12365.54,4,4,4,444,Champions
4,31,11028.22,4,4,4,444,Champions
4,14,7612.57,4,4,4,444,Champions
8,6,2073.63,4,4,4,444,Champions
28,6,2575.08,3,4,4,344,Loyal Customers
372,1,71.14,1,1,1,111,Lost Customers
114,1,4873.8099999999995,2,1,4,214,Lost Customers
26,2,1139.61,3,2,3,323,Lost Customers
206,1,335.01,1,1,2,112,Lost Customers
28,5,927.8,3,3,3,333,Loyal Customers
127,4,711.91,2,3,3,233,At Risk
70,2,761.67,2,2,3,223,Lost Customers
7,4,582.1,4,3,2,432,Loyal Customers
29,3,757.59,3,3,3,333,Loyal Customers
8,4,4525.99,4,3,4,434,Loyal Customers
80,2,725.71,2,2,3,223,Lost Customers
20,1,201.0,3,1,1,311,Lost Customers
71,1,265.55,2,1,1,211,Lost Customers
7,8,1740.84,4,4,4,444,Champions
15,8,6382.29,4,4,4,444,Champions
292,1,603.42,1,1,2,112,Lost Customers
30,10,2442.91,3,4,4,344,Loyal Customers
15,15,9430.52,4,4,4,444,Champions
97,3,1023.02,2,3,3,233,At Risk
29,13,3928.13,3,4,4,344,Loyal Customers
1,1,794.55,4,1,3,413,Lost Customers
9,5,4294.86,4,3,4,434,Loyal Customers
106,1,273.86,2,1,1,211,Lost Customers
4,2,963.49,4,2,3,423,Lost Customers
151,2,830.98,1,2,3,123,Lost Customers
71,1,202.25,2,1,1,211,Lost Customers
5,2,572.95,4,2,2,422,Lost Customers
3,25,5115.7300000000005,4,4,4,444,Champions
32,6,2386.13,3,4,4,344,Loyal Customers
85,4,979.63,2,3,3,233,At Risk
4,5,707.07,4,4,3,443,Loyal Customers
5,4,923.41,4,3,3,433,Loyal Customers
371,1,371.8,1,1,2,112,Lost Customers
28,7,2411.1,3,4,4,344,Loyal Customers
11,7,3440.7,4,4,4,444,Champions
71,4,728.33,2,3,3,233,At Risk
114,1,417.01,2,1,2,212,Lost Customers
24,12,18751.91,3,4,4,344,Loyal Customers
180,1,218.26000000000002,1,1,1,111,Lost Customers
234,1,383.95,1,1,2,112,Lost Customers
353,1,110.39999999999999,1,1,1,111,Lost Customers
315,2,689.5699999999999,1,2,3,123,Lost Customers
333,1,144.0,1,1,1,111,Lost Customers
372,1,137.35,1,1,1,111,Lost Customers
99,1,975.54,2,1,3,213,Lost Customers
64,1,427.6,2,1,2,212,Lost Customers
134,2,546.43,2,2,2,222,Lost Customers
56,4,9120.39,2,3,4,234,At Risk
2,11,4196.01,4,4,4,444,Champions
1,206,32317.32,4,4,4,444,Champions
4,5,4040.88,4,4,4,444,Champions
129,1,275.88,2,1,1,211,Lost Customers
81,1,4366.78,2,1,4,214,Lost Customers
23,6,21429.39,3,4,4,344,Loyal Customers
236,3,3010.74,1,3,4,134,At Risk
281,2,3811.95,1,2,4,124,Lost Customers
87,1,112.07999999999998,2,1,1,211,Lost Customers
16,9,4199.2,4,4,4,444,Champions
117,2,2791.59,2,2,4,224,Lost Customers
52,3,1411.44,2,3,3,233,At Risk
8,2,1702.52,4,2,4,424,Lost Customers
138,2,494.08,2,2,2,222,Lost Customers
317,1,1693.88,1,1,4,114,Lost Customers
4,7,6457.63,4,4,4,444,Champions
239,1,1143.6,1,1,3,113,Lost Customers
211,1,1351.45,1,1,3,113,Lost Customers
60,1,752.47,2,1,3,213,Lost Customers
17,5,1281.04,4,4,3,443,Loyal Customers
20,6,693.23,3,4,3,343,Loyal Customers
38,8,3981.36,3,4,4,344,Loyal Customers
64,2,786.74,2,2,3,223,Lost Customers
5,5,1938.92,4,4,4,444,Champions
2,4,1295.87,4,3,3,433,Loyal Customers
15,1,518.42,4,1,2,412,Lost Customers
364,1,255.95,1,1,1,111,Lost Customers
10,3,418.66,4,3,2,432,Loyal Customers
65,1,76.85,2,1,1,211,Lost Customers
192,1,294.92,1,1,1,111,Lost Customers
374,1,177.60000000000002,1,1,1,111,Lost Customers
257,1,344.53999999999996,1,1,2,112,Lost Customers
335,2,461.48,1,2,2,122,Lost Customers
53,2,860.41,2,2,3,223,Lost Customers
19,1,318.48,3,1,2,312,Lost Customers
366,1,226.03,1,1,1,111,Lost Customers
10,3,6977.04,4,3,4,434,Loyal Customers
187,1,397.58,1,1,2,112,Lost Customers
37,3,455.65000000000003,3,3,2,332,Loyal Customers
178,1,405.31,1,1,2,112,Lost Customers
262,2,458.85,1,2,2,122,Lost Customers
45,1,229.64000000000001,3,1,1,311,Lost Customers
102,1,85.92,2,1,1,211,Lost Customers
148,2,863.46,1,2,3,123,Lost Customers
96,2,452.20000000000005,2,2,2,222,Lost Customers
281,1,126.03999999999999,1,1,1,111,Lost Customers
262,1,1182.0800000000002,1,1,3,113,Lost Customers
3,4,942.34,4,3,3,433,Loyal Customers
214,1,92.72,1,1,1,111,Lost Customers
71,2,948.88,2,2,3,223,Lost Customers
75,5,1759.5,2,4,4,244,At Risk
60,1,397.12,2,1,2,212,Lost Customers
3,7,1474.72,4,4,3,443,Loyal Customers
6,3,430.15000000000003,4,3,2,432,Loyal Customers
3,6,1018.71,4,4,3,443,Loyal Customers
337,2,293.0,1,2,1,121,Lost Customers
38,6,6814.64,3,4,4,344,Loyal Customers
262,1,215.05,1,1,1,111,Lost Customers
32,2,383.03,3,2,2,322,Lost Customers
145,1,417.38,1,1,2,112,Lost Customers
283,1,312.38,1,1,2,112,Lost Customers
59,4,2612.86,2,3,4,234,At Risk
173,1,134.1,1,1,1,111,Lost Customers
34,2,683.13,3,2,3,323,Lost Customers
3,14,5591.42,4,4,4,444,Champions
144,4,2726.77,1,3,4,134,At Risk
5,25,4022.35,4,4,4,444,Champions
70,2,1118.99,2,2,3,223,Lost Customers
66,8,1702.26,2,4,4,244,At Risk
29,2,325.96000000000004,3,2,2,322,Lost Customers
267,4,354.09,1,3,2,132,At Risk
22,1,871.54,3,1,3,313,Lost Customers
31,2,1033.25,3,2,3,323,Lost Customers
97,1,135.18,2,1,1,211,Lost Customers
295,1,311.55,1,1,2,112,Lost Customers
135,6,1957.1000000000001,2,4,4,244,At Risk
79,3,1324.5,2,3,3,233,At Risk
373,1,38.1,1,1,1,111,Lost Customers
8,6,2179.93,4,4,4,444,Champions
211,2,1106.4,1,2,3,123,Lost Customers
52,1,521.2,2,1,2,212,Lost Customers
138,1,147.12,2,1,1,211,Lost Customers
26,2,1568.23,3,2,3,323,Lost Customers
283,1,499.12,1,1,2,112,Lost Customers
26,7,4036.82,3,4,4,344,Loyal Customers
186,6,1607.0600000000002,1,4,3,143,At Risk
84,2,380.64,2,2,2,222,Lost Customers
327,2,599.97,1,2,2,122,Lost Customers
282,1,374.0,1,1,2,112,Lost Customers
143,2,343.2300000000001,2,2,2,222,Lost Customers
58,2,2053.02,2,2,4,224,Lost Customers
4,12,1535.77,4,4,3,443,Loyal Customers
236,2,854.99,1,2,3,123,Lost Customers
45,3,573.22,3,3,2,332,Loyal Customers
276,1,298.0,1,1,1,111,Lost Customers
9,2,1463.04,4,2,3,423,Lost Customers
25,4,703.47,3,3,3,333,Loyal Customers
88,1,309.05,2,1,2,212,Lost Customers
63,3,1175.22,2,3,3,233,At Risk
68,2,1378.4,2,2,3,223,Lost Customers
214,2,354.12,1,2,2,122,Lost Customers
24,1,380.46999999999997,3,1,2,312,Lost Customers
186,3,331.0,1,3,2,132,At Risk
31,1,188.14,3,1,1,311,Lost Customers
42,2,372.8,3,2,2,322,Lost Customers
205,2,216.5,1,2,1,121,Lost Customers
9,28,17654.54,4,4,4,444,Champions
265,1,138.68,1,1,1,111,Lost Customers
18,2,509.58,4,2,2,422,Lost Customers
12,5,2919.81,4,4,4,444,Champions
176,2,750.0,1,2,3,123,Lost Customers
40,5,2178.67,3,4,4,344,Loyal Customers
23,8,3075.04,3,4,4,344,Loyal Customers
3,5,1662.3,4,4,4,444,Champions
5,5,2483.63,4,4,4,444,Champions
149,2,363.65,1,2,2,122,Lost Customers
139,4,3006.15,2,3,4,234,At Risk
128,1,594.0,2,1,2,212,Lost Customers
8,6,1335.19,4,4,3,443,Loyal Customers
17,1,164.23,4,1,1,411,Lost Customers
9,37,16587.09,4,4,4,444,Champions
161,1,405.38,1,1,2,112,Lost Customers
64,1,175.72,2,1,1,211,Lost Customers
88,4,925.75,2,3,3,233,At Risk
5,2,694.05,4,2,3,423,Lost Customers
35,5,2062.7000000000003,3,4,4,344,Loyal Customers
312,1,117.85,1,1,1,111,Lost Customers
78,2,415.8,2,2,2,222,Lost Customers
22,15,42055.96,3,4,4,344,Loyal Customers
24,3,607.53,3,3,2,332,Loyal Customers
2,7,2160.7,4,4,4,444,Champions
17,4,1063.9,4,3,3,433,Loyal Customers
15,4,1504.27,4,3,3,433,Loyal Customers
26,1,114.14,3,1,1,311,Lost Customers
64,8,11581.8,2,4,4,244,At Risk
55,2,913.54,2,2,3,223,Lost Customers
131,3,683.9,2,3,3,233,At Risk
36,2,604.51,3,2,2,322,Lost Customers
288,1,462.95,1,1,2,112,Lost Customers
144,6,1603.99,1,4,3,143,At Risk
16,7,2064.95,4,4,4,444,Champions
31,8,4167.22,3,4,4,344,Loyal Customers
2,3,1843.0,4,3,4,434,Loyal Customers
9,6,1064.07,4,4,3,443,Loyal Customers
6,4,1387.79,4,3,3,433,Loyal Customers
10,1,329.85,4,1,2,412,Lost Customers
1,11,4757.16,4,4,4,444,Champions
306,1,108.07,1,1,1,111,Lost Customers
10,8,4017.54,4,4,4,444,Champions
7,2,266.39,4,2,1,421,Lost Customers
8,8,1856.63,4,4,4,444,Champions
89,1,771.91,2,1,3,213,Lost Customers
10,1,160.18,4,1,1,411,Lost Customers
358,2,1660.9,1,2,4,124,Lost Customers
112,1,135.95,2,1,1,211,Lost Customers
7,4,452.24,4,3,2,432,Loyal Customers
4,86,11189.91,4,4,4,444,Champions
198,1,144.8,1,1,1,111,Lost Customers
212,1,738.6,1,1,3,113,Lost Customers
156,1,39.239999999999995,1,1,1,111,Lost Customers
158,9,7374.900000000001,1,4,4,144,At Risk
30,2,372.21999999999997,3,2,2,322,Lost Customers
243,1,390.54,1,1,2,112,Lost Customers
19,1,97.5,3,1,1,311,Lost Customers
1,2,1239.38,4,2,3,423,Lost Customers
74,2,558.7,2,2,2,222,Lost Customers
292,1,535.32,1,1,2,112,Lost Customers
3,15,6924.110000000001,4,4,4,444,Champions
31,3,409.5,3,3,2,332,Loyal Customers
23,2,503.76,3,2,2,322,Lost Customers
23,4,414.76,3,3,2,332,Loyal Customers
4,3,974.4200000000001,4,3,3,433,Loyal Customers
85,1,211.32,2,1,1,211,Lost Customers
22,4,1226.89,3,3,3,333,Loyal Customers
196,3,455.88,1,3,2,132,At Risk
107,3,534.85,2,3,2,232,At Risk
4,13,9818.82,4,4,4,444,Champions
318,1,120.94999999999999,1,1,1,111,Lost Customers
106,3,149.05,2,3,1,231,At Risk
12,18,5655.91,4,4,4,444,Champions
174,2,513.7,1,2,2,122,Lost Customers
56,1,81.57,2,1,1,211,Lost Customers
323,1,229.46999999999997,1,1,1,111,Lost Customers
372,1,50.550000000000004,1,1,1,111,Lost Customers
9,8,1661.8400000000001,4,4,4,444,Champions
1,13,4810.9400000000005,4,4,4,444,Champions
11,10,3466.2799999999997,4,4,4,444,Champions
53,5,3346.28,2,4,4,244,At Risk
73,3,789.89,2,3,3,233,At Risk
7,1,204.0,4,1,1,411,Lost Customers
16,28,7277.7,4,4,4,444,Champions
4,9,2616.38,4,4,4,444,Champions
64,2,599.9,2,2,2,222,Lost Customers
1,5,975.36,4,4,3,443,Loyal Customers
114,6,6912.0,2,4,4,244,At Risk
23,2,661.3199999999999,3,2,2,322,Lost Customers
31,3,1247.5,3,3,3,333,Loyal Customers
11,2,799.48,4,2,3,423,Lost Customers
52,2,1010.18,2,2,3,223,Lost Customers
357,1,190.55,1,1,1,111,Lost Customers
55,2,642.77,2,2,2,222,Lost Customers
74,2,921.88,2,2,3,223,Lost Customers
138,3,881.07,2,3,3,233,At Risk
80,3,908.46,2,3,3,233,At Risk
9,2,676.99,4,2,3,423,Lost Customers
273,1,516.42,1,1,2,112,Lost Customers
291,1,560.47,1,1,2,112,Lost Customers
99,1,305.28000000000003,2,1,1,211,Lost Customers
31,2,629.31,3,2,2,322,Lost Customers
57,9,3232.59,2,4,4,244,At Risk
14,4,1835.91,4,3,4,434,Loyal Customers
64,2,656.6800000000001,2,2,2,222,Lost Customers
15,17,5833.11,4,4,4,444,Champions
212,1,348.15000000000003,1,1,2,112,Lost Customers
78,3,1214.41,2,3,3,233,At Risk
25,3,271.40000000000003,3,3,1,331,Loyal Customers
250,1,183.4,1,1,1,111,Lost Customers
254,1,307.53,1,1,2,112,Lost Customers
72,1,248.61,2,1,1,211,Lost Customers
191,1,346.98,1,1,2,112,Lost Customers
13,4,1119.49,4,3,3,433,Loyal Customers
373,1,205.86,1,1,1,111,Lost Customers
24,2,470.8,3,2,2,322,Lost Customers
82,1,115.46000000000001,2,1,1,211,Lost Customers
10,2,344.0,4,2,2,422,Lost Customers
1,24,4436.12,4,4,4,444,Champions
192,1,228.8,1,1,1,111,Lost Customers
267,1,177.15,1,1,1,111,Lost Customers
130,1,919.61,2,1,3,213,Lost Customers
1,4,729.27,4,3,3,433,Loyal Customers
3,26,12627.94,4,4,4,444,Champions
4,5,220.10000000000002,4,4,1,441,Loyal Customers
179,1,58.08,1,1,1,111,Lost Customers
12,11,28337.38,4,4,4,444,Champions
126,9,3613.63,2,4,4,244,At Risk
4,2,303.75,4,2,1,421,Lost Customers
158,2,416.08000000000004,1,2,2,122,Lost Customers
3,97,58825.83,4,4,4,444,Champions
9,13,8895.82,4,4,4,444,Champions
28,1,345.82,3,1,2,312,Lost Customers
71,5,477.83,2,4,2,242,At Risk
276,8,7832.47,1,4,4,144,At Risk
21,12,1927.3200000000002,3,4,4,344,Loyal Customers
71,1,74.39999999999999,2,1,1,211,Lost Customers
33,10,6010.42,3,4,4,344,Loyal Customers
1,28,28882.44,4,4,4,444,Champions
99,1,207.35999999999999,2,1,1,211,Lost Customers
234,1,101.19,1,1,1,111,Lost Customers
1,24,6424.09,4,4,4,444,Champions
40,1,243.94,3,1,1,311,Lost Customers
3,6,1098.48,4,4,3,443,Loyal Customers
133,1,76.5,2,1,1,211,Lost Customers
44,4,1531.6200000000001,3,3,3,333,Loyal Customers
373,1,350.06,1,1,2,112,Lost Customers
60,2,786.54,2,2,3,223,Lost Customers
31,7,1488.67,3,4,3,343,Loyal Customers
1,24,12245.960000000001,4,4,4,444,Champions
12,4,2294.78,4,3,4,434,Loyal Customers
138,1,501.14,2,1,2,212,Lost Customers
22,8,984.91,3,4,3,343,Loyal Customers
20,5,1197.81,3,4,3,343,Loyal Customers
239,1,30.599999999999998,1,1,1,111,Lost Customers
269,1,283.73,1,1,1,111,Lost Customers
94,2,922.39,2,2,3,223,Lost Customers
90,3,3866.33,2,3,4,234,At Risk
